Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,09/06/2017,390,390,384.700012,385.899994,385.899994,75216
ADANIPORTS,09/07/2017,390,390.75,386,387.950012,387.950012,65781
ADANIPORTS,09/08/2017,390,391.399994,382.5,384.950012,384.950012,70728
ADANIPORTS,09/11/2017,389,390.200012,384.950012,385.799988,385.799988,71703
ADANIPORTS,09/12/2017,389.399994,390.350006,385.450012,389,389,80923
ADANIPORTS,9/13/2017,392,394.75,385.75,389.899994,389.899994,141365
ADANIPORTS,9/14/2017,391,405.600006,390.600006,403.299988,403.299988,1022298
ADANIPORTS,9/15/2017,405.5,409.799988,401.950012,404,404,1003564
ADANIPORTS,9/18/2017,406,407.899994,399.350006,404.700012,404.700012,673412
ADANIPORTS,9/19/2017,406,408.600006,386.600006,405.899994,405.899994,1039069
ADANIPORTS,9/20/2017,406,413,406,409.549988,409.549988,1657960
ADANIPORTS,9/21/2017,410.700012,414.299988,406,410.049988,410.049988,1156440
ADANIPORTS,9/22/2017,410,410,398.950012,401.25,401.25,1216394
ADANIPORTS,9/25/2017,400.899994,401,383.049988,388.049988,388.049988,962400
ADANIPORTS,9/26/2017,400,400,388.100006,390.549988,390.549988,1457692
ADANIPORTS,9/27/2017,395,395,369.399994,371.600006,371.600006,223472
ADANIPORTS,9/28/2017,372.899994,374.649994,364,371.549988,371.549988,131046
ADANIPORTS,9/29/2017,377,378,372.049988,376.200012,376.200012,68824
ADANIPORTS,10/03/2017,376.5,385,375.649994,382.600006,382.600006,147500
ADANIPORTS,10/04/2017,384.950012,388.25,379.399994,387,387,76964
ADANIPORTS,10/05/2017,388.5,389.5,384,386,386,64422
ADANIPORTS,10/06/2017,389,392,387.100006,388.899994,388.899994,62512
ADANIPORTS,10/09/2017,393,396.149994,383,394.75,394.75,935082
ADANIPORTS,10/10/2017,395.5,398.25,390.799988,396.450012,396.450012,573695
ADANIPORTS,10/11/2017,399,400.899994,394.5,397.049988,397.049988,1326700
ADANIPORTS,10/12/2017,400,405.100006,393.700012,403.75,403.75,100606
ADANIPORTS,10/13/2017,406,409.350006,400.399994,407.899994,407.899994,115123
ADANIPORTS,10/16/2017,411,411,404.75,406.850006,406.850006,698449
ADANIPORTS,10/17/2017,406,407.75,403.299988,405.75,405.75,731370
ADANIPORTS,10/18/2017,407,407.25,402.649994,407,407,741836
ADANIPORTS,10/19/2017,407.950012,409.899994,397.350006,401.5,401.5,15809
ADANIPORTS,10/23/2017,403.5,412.299988,401.649994,406.950012,406.950012,835937
ADANIPORTS,10/24/2017,405,408,405,406.100006,406.100006,1002194
ADANIPORTS,10/25/2017,410,417.25,405.25,414.950012,414.950012,517379
ADANIPORTS,10/26/2017,415.5,435.700012,408.75,414,414,137997
ADANIPORTS,10/27/2017,417,438.450012,414.899994,431.850006,431.850006,426000
ADANIPORTS,10/30/2017,436,436,428,429.899994,429.899994,91776
ADANIPORTS,10/31/2017,431.5,433,416.5,430.299988,430.299988,810807
ADANIPORTS,11/01/2017,432.899994,437.200012,430.100006,433.700012,433.700012,785331
ADANIPORTS,11/02/2017,433.700012,440.25,429.5,437.25,437.25,764363
ADANIPORTS,11/03/2017,439.700012,440.600006,433.200012,434.299988,434.299988,566798
ADANIPORTS,11/06/2017,439.450012,443.350006,430.399994,437.899994,437.899994,1022474
ADANIPORTS,11/07/2017,438,439.700012,428.75,432.149994,432.149994,922585
ADANIPORTS,11/08/2017,435,436.649994,428.350006,429.850006,429.850006,1006785
ADANIPORTS,11/09/2017,436,437,428,433.549988,433.549988,1293243
ADANIPORTS,11/10/2017,434,434.5,426.100006,431.799988,431.799988,171849
ADANIPORTS,11/13/2017,431,432,411.899994,414.049988,414.049988,266138
ADANIPORTS,11/14/2017,414,416.950012,407.049988,410.649994,410.649994,231046
ADANIPORTS,11/15/2017,410.75,414.200012,404.350006,407.25,407.25,120225
ADANIPORTS,11/16/2017,406.049988,410.450012,395.549988,397,397,172302
ADANIPORTS,11/17/2017,404,405,396.5,400.75,400.75,128272
ADANIPORTS,11/20/2017,400.75,405.649994,397.399994,399,399,199315
ADANIPORTS,11/21/2017,400,405.700012,400,401.200012,401.200012,88372
ADANIPORTS,11/22/2017,403.899994,415.700012,401.549988,414.299988,414.299988,231159
ADANIPORTS,11/23/2017,414.100006,415.549988,402.850006,407.200012,407.200012,140068
ADANIPORTS,11/24/2017,411.799988,411.799988,402.549988,404.950012,404.950012,82268
ADANIPORTS,11/27/2017,403.149994,404.299988,398.149994,400.350006,400.350006,111805
ADANIPORTS,11/28/2017,400,403.850006,395.299988,397.950012,397.950012,709732
ADANIPORTS,11/29/2017,399.899994,404.850006,395.25,402.549988,402.549988,440620
ADANIPORTS,11/30/2017,402,402,392,398.850006,398.850006,459517
ADANIPORTS,12/01/2017,399,404.350006,383.549988,386.899994,386.899994,180365
ADANIPORTS,12/04/2017,387,390,378,388,388,653386
ADANIPORTS,12/05/2017,388,390,379.649994,388,388,285860
ADANIPORTS,12/06/2017,388,388.350006,383.299988,386.149994,386.149994,525592
ADANIPORTS,12/07/2017,387,391.600006,383.950012,390.549988,390.549988,1504011
ADANIPORTS,12/08/2017,395,396.549988,391.100006,392.600006,392.600006,137097
ADANIPORTS,12/11/2017,395,395.799988,385.600006,391.950012,391.950012,127890
ADANIPORTS,12/12/2017,392.299988,404.899994,389.200012,401.600006,401.600006,222087
ADANIPORTS,12/13/2017,401.100006,401.600006,391.299988,393.700012,393.700012,230940
ADANIPORTS,12/14/2017,395.100006,399,386.049988,395.049988,395.049988,129953
ADANIPORTS,12/15/2017,405,407.25,400.75,401.950012,401.950012,180647
